iter	Passed	Remaining
819	15017	21610
820	15036	21593
821	15053	21572
822	15068	21550
823	15084	21527
824	15101	21507
825	15116	21485
826	15133	21464
827	15149	21443
828	15168	21426
829	15186	21407
830	15203	21386
831	15219	21365
832	15236	21345
833	15252	21324
834	15269	21304
835	15287	21285
836	15305	21266
837	15320	21244
838	15337	21223
839	15356	21206
840	15372	21185
841	15390	21166
842	15408	21148
843	15423	21125
844	15441	21106
845	15458	21086
846	15475	21066
847	15492	21045
848	15508	21025
849	15526	21005
850	15543	20985
851	15561	20967
852	15577	20946
853	15594	20926
854	15610	20905
855	15627	20885
856	15644	20865
857	15660	20843
858	15677	20823
859	15695	20805
860	15714	20788
861	15733	20770
862	15749	20750
863	15769	20733
864	15789	20717
865	15809	20701
866	15828	20684
867	15844	20663
868	15862	20644
869	15878	20624
870	15898	20607
871	15919	20593
872	15937	20574
873	15955	20556
874	15973	20537
875	15990	20517
876	16007	20497
877	16023	20476
878	16041	20457
879	16058	20437
880	16077	20420
881	16095	20402
882	16112	20382
883	16127	20359
884	16145	20341
885	16162	20322
886	16180	20302
887	16198	20284
888	16215	20264
889	16231	20243
890	16252	20228
891	16271	20211
892	16286	20189
893	16305	20171
894	16321	20150
895	16338	20131
896	16354	20110
897	16372	20091
898	16388	20071
899	16404	20050
900	16421	20030
901	16438	20010
902	16454	19989
903	16471	19970
904	16489	19951
905	16506	19931
906	16523	19911
907	16541	19893
908	16560	19876
909	16578	19857
910	16598	19841
911	16616	19823
912	16634	19805
913	16653	19787
914	16671	19769
915	16691	19753
916	16711	19736
917	16729	19718
918	16746	19698
919	16764	19679
920	16781	19660
921	16798	19641
922	16816	19622
923	16835	19604
924	16852	19585
925	16872	19568
926	16892	19552
927	16909	19533
928	16926	19514
929	16944	19495
930	16959	19473
931	16976	19453
932	16993	19433
933	17009	19413
934	17026	19393
935	17042	19373
936	17058	19352
937	17076	19333
938	17094	19315
939	17112	19296
940	17128	19276
941	17144	19256
942	17162	19237
943	17180	19219
944	17198	19200
945	17215	19181
946	17241	19171
947	17267	19161
948	17285	19143
949	17302	19123
950	17319	19104
951	17337	19085
952	17354	19066
953	17373	19048
954	17391	19030
955	17407	19010
956	17424	18990
957	17441	18970
958	17458	18951
959	17477	18933
960	17493	18913
961	17511	18894
962	17530	18877
963	17547	18858
964	17566	18841
965	17585	18823
966	17604	18805
967	17621	18786
968	17640	18769
969	17660	18753
970	17678	18734
971	17697	18717
972	17716	18699
973	17735	18682
974	17755	18665
975	17774	18648
976	17792	18629
977	17809	18610
978	17827	18591
979	17845	18573
980	17862	18554
981	17881	18536
982	17898	18517
983	17920	18502
984	17939	18485
985	17959	18469
986	17977	18451
987	17993	18430
